YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2015,1,AK,Total Electric Power Industry,Total,"605,609"
2015,1,AK,Total Electric Power Industry,Coal,"43,856"
2015,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"151,915"
2015,1,AK,Total Electric Power Industry,Natural Gas,"324,151"
2015,1,AK,Total Electric Power Industry,Other,-195
2015,1,AK,Total Electric Power Industry,Petroleum,"77,285"
2015,1,AK,Total Electric Power Industry,Other Biomass,"3,659"
2015,1,AK,Total Electric Power Industry,Wind,"4,937"
2015,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2015,1,AK,"Combined Heat and Power, Industrial Power",Total,"13,764"
2015,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"8,720"
2015,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"4,726"
2015,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,317
2015,1,AK,"Combined Heat and Power, Commercial Power",Total,"14,071"
2015,1,AK,"Combined Heat and Power, Commercial Power",Coal,"9,327"
2015,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2015,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,"1,402"
2015,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"3,342"
2015,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2015,1,AK,"Combined Heat and Power, Electric Power",Total,"16,494"
2015,1,AK,"Combined Heat and Power, Electric Power",Coal,"16,494"
2015,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2015,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2015,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2015,1,AK,"Electric Generators, Independent Power Producers",Total,"1,687"
2015,1,AK,"Electric Generators, Independent Power Producers",Wind,"1,687"
2015,1,AK,"Electric Generators, Electric Utilities",Total,"559,594"
2015,1,AK,"Electric Generators, Electric Utilities",Coal,"18,035"
2015,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"151,915"
2015,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"315,430"
2015,1,AK,"Electric Generators, Electric Utilities",Other,-195
2015,1,AK,"Electric Generators, Electric Utilities",Petroleum,"71,158"
2015,1,AK,"Electric Generators, Electric Utilities",Wind,"3,250"
2015,1,AL,Total Electric Power Industry,Total,"13,558,681"
2015,1,AL,Total Electric Power Industry,Coal,"3,049,851"
2015,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,245,566"
2015,1,AL,Total Electric Power Industry,Natural Gas,"5,090,784"
2015,1,AL,Total Electric Power Industry,Nuclear,"3,859,942"
2015,1,AL,Total Electric Power Industry,Other Gases,"2,921"
2015,1,AL,Total Electric Power Industry,Other,0
2015,1,AL,Total Electric Power Industry,Petroleum,"15,645"
2015,1,AL,Total Electric Power Industry,Other Biomass,"3,967"
2015,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"290,006"
2015,1,AL,"Combined Heat and Power, Industrial Power",Total,"385,717"
2015,1,AL,"Combined Heat and Power, Industrial Power",Coal,"10,069"
2015,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"99,198"
2015,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,"2,921"
2015,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2015,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,"2,489"
2015,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2015,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"271,040"
