YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION (Megawatthours)"
2021,1,AK,Total Electric Power Industry,Total,"516,962"
2021,1,AK,Total Electric Power Industry,Coal,"76,803"
2021,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"183,535"
2021,1,AK,Total Electric Power Industry,Natural Gas,"183,908"
2021,1,AK,Total Electric Power Industry,Other,-256
2021,1,AK,Total Electric Power Industry,Petroleum,"59,175"
2021,1,AK,Total Electric Power Industry,Other Biomass,"3,561"
2021,1,AK,Total Electric Power Industry,Wind,"10,237"
2021,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Industrial Power",Total,"9,041"
2021,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,496"
2021,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"2,545"
2021,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Commercial Power",Total,"32,454"
2021,1,AK,"Combined Heat and Power, Commercial Power",Coal,"11,545"
2021,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"17,376"
2021,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,1
2021,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,-29
2021,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"3,561"
2021,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Electric Power",Total,"18,266"
2021,1,AK,"Combined Heat and Power, Electric Power",Coal,"18,266"
2021,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Electric Generators, Independent Power Producers",Total,"4,169"
2021,1,AK,"Electric Generators, Independent Power Producers",Petroleum,116
2021,1,AK,"Electric Generators, Independent Power Producers",Wind,"4,052"
2021,1,AK,"Electric Generators, Electric Utilities",Total,"453,032"
2021,1,AK,"Electric Generators, Electric Utilities",Coal,"46,992"
2021,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"166,159"
2021,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"177,410"
2021,1,AK,"Electric Generators, Electric Utilities",Other,-256
2021,1,AK,"Electric Generators, Electric Utilities",Petroleum,"56,542"
2021,1,AK,"Electric Generators, Electric Utilities",Wind,"6,184"
2021,1,AL,Total Electric Power Industry,Total,"12,437,071"
2021,1,AL,Total Electric Power Industry,Coal,"2,096,760"
2021,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,136,355"
2021,1,AL,Total Electric Power Industry,Natural Gas,"4,759,237"
2021,1,AL,Total Electric Power Industry,Nuclear,"4,122,597"
2021,1,AL,Total Electric Power Industry,Other Gases,245
2021,1,AL,Total Electric Power Industry,Other,0
2021,1,AL,Total Electric Power Industry,Petroleum,"3,134"
2021,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"19,331"
2021,1,AL,Total Electric Power Industry,Other Biomass,"3,283"
2021,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"296,127"
2021,1,AL,"Combined Heat and Power, Industrial Power",Total,"424,912"
2021,1,AL,"Combined Heat and Power, Industrial Power",Coal,110
2021,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"128,018"
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,245
2021,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,411
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"296,127"
2021,1,AL,"Combined Heat and Power, Electric Power",Total,"416,382"
2021,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,"416,382"
2021,1,AL,"Electric Generators, Independent Power Producers",Total,"2,398,445"
2021,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,"2,374,678"
2021,1,AL,"Electric Generators, Independent Power Producers",Other,0
2021,1,AL,"Electric Generators, Independent Power Producers",Petroleum,"2,713"
2021,1,AL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"17,771"
2021,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,"3,283"
2021,1,AL,"Electric Generators, Electric Utilities",Total,"9,197,332"
2021,1,AL,"Electric Generators, Electric Utilities",Coal,"2,096,650"
2021,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,136,355"
2021,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"1,840,159"
2021,1,AL,"Electric Generators, Electric Utilities",Nuclear,"4,122,597"
2021,1,AL,"Electric Generators, Electric Utilities",Petroleum,10
2021,1,AL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"1,561"
2021,1,AR,Total Electric Power Industry,Total,"5,219,341"
2021,1,AR,Total Electric Power Industry,Coal,"2,302,243"
2021,1,AR,Total Electric Power Industry,Pumped Storage,934
2021,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"390,805"
2021,1,AR,Total Electric Power Industry,Natural Gas,"1,032,091"
2021,1,AR,Total Electric Power Industry,Nuclear,"1,369,932"
2021,1,AR,Total Electric Power Industry,Other,"1,009"
2021,1,AR,Total Electric Power Industry,Petroleum,"3,284"
2021,1,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,"23,996"
2021,1,AR,Total Electric Power Industry,Other Biomass,"8,965"
2021,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"86,082"
2021,1,AR,"Combined Heat and Power, Industrial Power",Total,"115,729"
2021,1,AR,"Combined Heat and Power, Industrial Power",Coal,"3,398"
2021,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"25,205"
2021,1,AR,"Combined Heat and Power, Industrial Power",Other,"1,041"
2021,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,3
2021,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"86,082"
2021,1,AR,"Combined Heat and Power, Commercial Power",Total,"4,841"
2021,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,"3,781"
2021,1,AR,"Combined Heat and Power, Commercial Power",Other,-32
2021,1,AR,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,638
2021,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,454
2021,1,AR,"Combined Heat and Power, Electric Power",Total,"127,129"
2021,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,"124,170"
2021,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,"2,959"
2021,1,AR,"Electric Generators, Independent Power Producers",Total,"436,421"
2021,1,AR,"Electric Generators, Independent Power Producers",Coal,"402,345"
2021,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"5,091"
2021,1,AR,"Electric Generators, Independent Power Producers",Petroleum,163
2021,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"23,270"
2021,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,"5,552"
2021,1,AR,"Electric Generators, Electric Utilities",Total,"4,535,222"
2021,1,AR,"Electric Generators, Electric Utilities",Coal,"1,896,500"
2021,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,934
2021,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"385,714"
2021,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"878,935"
2021,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,369,932"
2021,1,AR,"Electric Generators, Electric Utilities",Petroleum,"3,118"
2021,1,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,88
2021,1,AZ,Total Electric Power Industry,Total,"8,689,647"
2021,1,AZ,Total Electric Power Industry,Coal,"938,410"
2021,1,AZ,Total Electric Power Industry,Pumped Storage,"-17,363"
2021,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"559,353"
2021,1,AZ,Total Electric Power Industry,Natural Gas,"3,733,701"
2021,1,AZ,Total Electric Power Industry,Nuclear,"2,976,208"
2021,1,AZ,Total Electric Power Industry,Other,-419
2021,1,AZ,Total Electric Power Industry,Petroleum,"2,465"
2021,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"348,409"
2021,1,AZ,Total Electric Power Industry,Other Biomass,"1,884"
2021,1,AZ,Total Electric Power Industry,Wind,"125,546"
2021,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"21,453"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Total,"12,594"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"11,401"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,1
2021,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,192"
2021,1,AZ,"Combined Heat and Power, Electric Power",Total,0
2021,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,0
2021,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AZ,"Electric Generators, Independent Power Producers",Total,"1,740,154"
2021,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"1,283,082"
2021,1,AZ,"Electric Generators, Independent Power Producers",Other,-419
2021,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"308,608"
2021,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"1,884"
2021,1,AZ,"Electric Generators, Independent Power Producers",Wind,"125,546"
2021,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"21,453"
2021,1,AZ,"Electric Generators, Electric Utilities",Total,"6,936,899"
2021,1,AZ,"Electric Generators, Electric Utilities",Coal,"938,410"
2021,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"-17,363"
2021,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"559,353"
2021,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"2,439,218"
2021,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,976,208"
2021,1,AZ,"Electric Generators, Electric Utilities",Other,0
2021,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"2,464"
2021,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"38,609"
2021,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2021,1,CA,Total Electric Power Industry,Total,"13,501,478"
2021,1,CA,Total Electric Power Industry,Coal,"17,410"
2021,1,CA,Total Electric Power Industry,Geothermal,"952,247"
2021,1,CA,Total Electric Power Industry,Pumped Storage,"-23,754"
2021,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"715,388"
2021,1,CA,Total Electric Power Industry,Natural Gas,"7,080,210"
2021,1,CA,Total Electric Power Industry,Nuclear,"1,287,253"
