YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2014,1,AK,Total Electric Power Industry,Total,"589,930"
2014,1,AK,Total Electric Power Industry,Coal,"57,246"
2014,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"128,769"
2014,1,AK,Total Electric Power Industry,Natural Gas,"301,234"
2014,1,AK,Total Electric Power Industry,Other,"2,315"
2014,1,AK,Total Electric Power Industry,Other Biomass,"5,275"
2014,1,AK,Total Electric Power Industry,Petroleum,"78,672"
2014,1,AK,Total Electric Power Industry,Wind,"16,419"
2014,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2014,1,AK,"Electric Generators, Independent Power Producers",Total,"5,058"
2014,1,AK,"Electric Generators, Independent Power Producers",Wind,"5,058"
2014,1,AK,"Electric Generators, Electric Utilities",Total,"527,523"
2014,1,AK,"Electric Generators, Electric Utilities",Coal,"17,271"
2014,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"128,769"
2014,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"293,865"
2014,1,AK,"Electric Generators, Electric Utilities",Other,"2,315"
2014,1,AK,"Electric Generators, Electric Utilities",Petroleum,"73,941"
2014,1,AK,"Electric Generators, Electric Utilities",Wind,"11,361"
2014,1,AK,"Combined Heat and Power, Industrial Power",Total,"12,000"
2014,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,704"
2014,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,939
2014,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"4,357"
2014,1,AK,"Combined Heat and Power, Electric Power",Total,"16,977"
2014,1,AK,"Combined Heat and Power, Electric Power",Coal,"16,977"
2014,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2014,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2014,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2014,1,AK,"Combined Heat and Power, Commercial Power",Total,"28,373"
2014,1,AK,"Combined Heat and Power, Commercial Power",Coal,"22,998"
2014,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,665
