YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2012,1,AK,Total Electric Power Industry,Total,"724,707"
2012,1,AK,Total Electric Power Industry,Coal,"59,799"
2012,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"162,652"
2012,1,AK,Total Electric Power Industry,Natural Gas,"385,256"
2012,1,AK,Total Electric Power Industry,Other,0
2012,1,AK,Total Electric Power Industry,Other Biomass,109
2012,1,AK,Total Electric Power Industry,Other Gases,245
2012,1,AK,Total Electric Power Industry,Petroleum,"115,561"
2012,1,AK,Total Electric Power Industry,Wind,"1,085"
2012,1,AK,"Electric Generators, Independent Power Producers",Total,306
2012,1,AK,"Electric Generators, Independent Power Producers",Other,0
2012,1,AK,"Electric Generators, Independent Power Producers",Wind,306
2012,1,AK,"Electric Generators, Electric Utilities",Total,"672,128"
2012,1,AK,"Electric Generators, Electric Utilities",Coal,"18,464"
2012,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"162,652"
2012,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"381,300"
2012,1,AK,"Electric Generators, Electric Utilities",Petroleum,"108,933"
2012,1,AK,"Electric Generators, Electric Utilities",Wind,778
2012,1,AK,"Combined Heat and Power, Industrial Power",Total,"9,274"
2012,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"3,956"
2012,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,109
2012,1,AK,"Combined Heat and Power, Industrial Power",Other Gases,245
2012,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"4,964"
2012,1,AK,"Combined Heat and Power, Electric Power",Total,"15,821"
2012,1,AK,"Combined Heat and Power, Electric Power",Coal,"15,821"
2012,1,AK,"Combined Heat and Power, Commercial Power",Total,"27,178"
2012,1,AK,"Combined Heat and Power, Commercial Power",Coal,"25,514"
2012,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2012,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,"1,664"
2012,1,AL,Total Electric Power Industry,Total,"13,201,660"
2012,1,AL,Total Electric Power Industry,Coal,"3,105,998"
2012,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,474,069"
2012,1,AL,Total Electric Power Industry,Natural Gas,"4,579,879"
2012,1,AL,Total Electric Power Industry,Nuclear,"3,737,038"
2012,1,AL,Total Electric Power Industry,Other,"16,709"
2012,1,AL,Total Electric Power Industry,Other Biomass,300
2012,1,AL,Total Electric Power Industry,Other Gases,"27,572"
2012,1,AL,Total Electric Power Industry,Petroleum,"17,116"
2012,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"242,979"
2012,1,AL,"Electric Generators, Independent Power Producers",Total,"2,955,502"
2012,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,"2,955,387"
2012,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,0
2012,1,AL,"Electric Generators, Independent Power Producers",Petroleum,115
2012,1,AL,"Electric Generators, Electric Utilities",Total,"9,654,173"
2012,1,AL,"Electric Generators, Electric Utilities",Coal,"3,082,869"
2012,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,474,069"
2012,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"1,354,497"
2012,1,AL,"Electric Generators, Electric Utilities",Nuclear,"3,737,038"
2012,1,AL,"Electric Generators, Electric Utilities",Other Biomass,0
2012,1,AL,"Electric Generators, Electric Utilities",Petroleum,"5,700"
2012,1,AL,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2012,1,AL,"Combined Heat and Power, Industrial Power",Total,"381,413"
2012,1,AL,"Combined Heat and Power, Industrial Power",Coal,"20,072"
2012,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"77,121"
2012,1,AL,"Combined Heat and Power, Industrial Power",Other,"16,709"
2012,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,300
2012,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,"27,572"
2012,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,"11,301"
2012,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"228,339"
2012,1,AL,"Combined Heat and Power, Electric Power",Total,"210,572"
2012,1,AL,"Combined Heat and Power, Electric Power",Coal,"3,057"
2012,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,"192,875"
2012,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"14,640"
2012,1,AR,Total Electric Power Industry,Total,"5,896,278"
2012,1,AR,Total Electric Power Industry,Coal,"2,750,301"
2012,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"291,198"
2012,1,AR,Total Electric Power Industry,Natural Gas,"1,335,118"
2012,1,AR,Total Electric Power Industry,Nuclear,"1,368,457"
