YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2008,1,AK,Total Electric Power Industry,Coal,"55,025"
2008,1,AK,Total Electric Power Industry,Petroleum,"124,901"
2008,1,AK,Total Electric Power Industry,Natural Gas,"387,570"
2008,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"104,105"
2008,1,AK,Total Electric Power Industry,Wind,9
2008,1,AK,Total Electric Power Industry,Other Biomass,272
2008,1,AK,Total Electric Power Industry,Other,0
2008,1,AK,Total Electric Power Industry,Total,"671,881"
2008,1,AK,"Electric Generators, Electric Utilities",Coal,"18,398"
2008,1,AK,"Electric Generators, Electric Utilities",Petroleum,"118,212"
2008,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"381,738"
2008,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"104,105"
2008,1,AK,"Electric Generators, Electric Utilities",Wind,9
2008,1,AK,"Electric Generators, Electric Utilities",Other,0
2008,1,AK,"Electric Generators, Electric Utilities",Total,"622,461"
2008,1,AK,"Combined Heat and Power, Electric Power",Coal,"14,759"
2008,1,AK,"Combined Heat and Power, Electric Power",Total,"14,759"
2008,1,AK,"Combined Heat and Power, Commercial Power",Coal,"21,868"
2008,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,888
2008,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2008,1,AK,"Combined Heat and Power, Commercial Power",Total,"22,756"
2008,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"5,801"
2008,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"5,832"
2008,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,272
2008,1,AK,"Combined Heat and Power, Industrial Power",Total,"11,905"
2008,1,AL,Total Electric Power Industry,Coal,"6,304,259"
2008,1,AL,Total Electric Power Industry,Petroleum,"35,495"
2008,1,AL,Total Electric Power Industry,Natural Gas,"2,110,529"
2008,1,AL,Total Electric Power Industry,Other Gases,"17,991"
2008,1,AL,Total Electric Power Industry,Nuclear,"3,184,555"
2008,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"584,146"
2008,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"304,409"
