YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION (Megawatthours)"
2017,1,AK,Total Electric Power Industry,Total,"603,927"
2017,1,AK,Total Electric Power Industry,Coal,"50,124"
2017,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"148,834"
2017,1,AK,Total Electric Power Industry,Natural Gas,"283,565"
2017,1,AK,Total Electric Power Industry,Other,-320
2017,1,AK,Total Electric Power Industry,Petroleum,"106,365"
2017,1,AK,Total Electric Power Industry,Other Biomass,"3,176"
2017,1,AK,Total Electric Power Industry,Wind,"12,183"
2017,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2017,1,AK,"Combined Heat and Power, Industrial Power",Total,"10,412"
2017,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,265"
2017,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"4,027"
2017,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,119
2017,1,AK,"Combined Heat and Power, Commercial Power",Total,"30,624"
2017,1,AK,"Combined Heat and Power, Commercial Power",Coal,"9,375"
2017,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"16,488"
2017,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,466
2017,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,"1,238"
2017,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"3,057"
2017,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2017,1,AK,"Combined Heat and Power, Electric Power",Total,"15,642"
2017,1,AK,"Combined Heat and Power, Electric Power",Coal,"15,642"
2017,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2017,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2017,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2017,1,AK,"Electric Generators, Independent Power Producers",Total,"4,327"
2017,1,AK,"Electric Generators, Independent Power Producers",Wind,"4,327"
2017,1,AK,"Electric Generators, Electric Utilities",Total,"542,923"
2017,1,AK,"Electric Generators, Electric Utilities",Coal,"25,107"
2017,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"132,346"
2017,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"276,834"
2017,1,AK,"Electric Generators, Electric Utilities",Other,-320
2017,1,AK,"Electric Generators, Electric Utilities",Petroleum,"101,100"
2017,1,AK,"Electric Generators, Electric Utilities",Wind,"7,856"
2017,1,AL,Total Electric Power Industry,Total,"10,936,548"
2017,1,AL,Total Electric Power Industry,Coal,"2,527,289"
2017,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"870,775"
2017,1,AL,Total Electric Power Industry,Natural Gas,"3,562,923"
2017,1,AL,Total Electric Power Industry,Nuclear,"3,679,445"
2017,1,AL,Total Electric Power Industry,Other Gases,"1,562"
2017,1,AL,Total Electric Power Industry,Other,0
2017,1,AL,Total Electric Power Industry,Petroleum,"6,501"
2017,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"6,857"
2017,1,AL,Total Electric Power Industry,Other Biomass,"3,586"
2017,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"277,609"
2017,1,AL,"Combined Heat and Power, Industrial Power",Total,"373,652"
2017,1,AL,"Combined Heat and Power, Industrial Power",Coal,"1,917"
2017,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"107,996"
2017,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,"1,562"
2017,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2017,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,"1,371"
2017,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2017,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"260,806"
2017,1,AL,"Combined Heat and Power, Electric Power",Total,"304,810"
2017,1,AL,"Combined Heat and Power, Electric Power",Coal,0
2017,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,"288,007"
2017,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"16,803"
2017,1,AL,"Electric Generators, Independent Power Producers",Total,"1,735,167"
2017,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,"1,723,013"
2017,1,AL,"Electric Generators, Independent Power Producers",Petroleum,"1,711"
2017,1,AL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"6,857"
2017,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,"3,586"
2017,1,AL,"Electric Generators, Electric Utilities",Total,"8,522,919"
2017,1,AL,"Electric Generators, Electric Utilities",Coal,"2,525,372"
2017,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"870,775"
2017,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"1,443,907"
2017,1,AL,"Electric Generators, Electric Utilities",Nuclear,"3,679,445"
2017,1,AL,"Electric Generators, Electric Utilities",Petroleum,"3,419"
2017,1,AR,Total Electric Power Industry,Total,"5,571,150"
2017,1,AR,Total Electric Power Industry,Coal,"3,078,044"
2017,1,AR,Total Electric Power Industry,Pumped Storage,"1,062"
2017,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"263,768"
2017,1,AR,Total Electric Power Industry,Natural Gas,"815,022"
2017,1,AR,Total Electric Power Industry,Nuclear,"1,279,925"
2017,1,AR,Total Electric Power Industry,Other,406
2017,1,AR,Total Electric Power Industry,Petroleum,"4,999"
2017,1,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,415"
2017,1,AR,Total Electric Power Industry,Other Biomass,"10,113"
2017,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"116,395"
2017,1,AR,"Combined Heat and Power, Industrial Power",Total,"151,107"
2017,1,AR,"Combined Heat and Power, Industrial Power",Coal,"5,196"
2017,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"28,981"
2017,1,AR,"Combined Heat and Power, Industrial Power",Other,406
2017,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,129
2017,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"116,395"
2017,1,AR,"Combined Heat and Power, Commercial Power",Total,"2,299"
2017,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,"1,753"
2017,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,545
2017,1,AR,"Combined Heat and Power, Electric Power",Total,"120,792"
2017,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,"116,214"
2017,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2017,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,"4,578"
2017,1,AR,"Electric Generators, Independent Power Producers",Total,"277,634"
2017,1,AR,"Electric Generators, Independent Power Producers",Coal,"265,591"
2017,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"2,533"
2017,1,AR,"Electric Generators, Independent Power Producers",Petroleum,"3,201"
2017,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"1,320"
2017,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,"4,990"
2017,1,AR,"Electric Generators, Electric Utilities",Total,"5,019,318"
2017,1,AR,"Electric Generators, Electric Utilities",Coal,"2,807,258"
2017,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,"1,062"
2017,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"261,235"
2017,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"668,074"
2017,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,279,925"
2017,1,AR,"Electric Generators, Electric Utilities",Petroleum,"1,669"
2017,1,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,95
2017,1,AZ,Total Electric Power Industry,Total,"7,959,698"
2017,1,AZ,Total Electric Power Industry,Coal,"2,878,713"
2017,1,AZ,Total Electric Power Industry,Pumped Storage,"-18,915"
2017,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"585,718"
2017,1,AZ,Total Electric Power Industry,Natural Gas,"1,221,797"
2017,1,AZ,Total Electric Power Industry,Nuclear,"2,980,017"
2017,1,AZ,Total Electric Power Industry,Other,-42
2017,1,AZ,Total Electric Power Industry,Petroleum,"6,867"
2017,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"234,203"
2017,1,AZ,Total Electric Power Industry,Other Biomass,"3,358"
2017,1,AZ,Total Electric Power Industry,Wind,"52,810"
2017,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"15,171"
2017,1,AZ,"Combined Heat and Power, Commercial Power",Total,"11,893"
2017,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"10,742"
2017,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2
2017,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,149"
2017,1,AZ,"Combined Heat and Power, Electric Power",Total,0
2017,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,0
2017,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2017,1,AZ,"Electric Generators, Independent Power Producers",Total,"319,808"
2017,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"40,156"
2017,1,AZ,"Electric Generators, Independent Power Producers",Other,-42
2017,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"208,354"
2017,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"3,358"
2017,1,AZ,"Electric Generators, Independent Power Producers",Wind,"52,810"
2017,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"15,171"
2017,1,AZ,"Electric Generators, Electric Utilities",Total,"7,627,997"
2017,1,AZ,"Electric Generators, Electric Utilities",Coal,"2,878,713"
2017,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"-18,915"
2017,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"585,718"
2017,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"1,170,899"
2017,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,980,017"
2017,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"6,865"
2017,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"24,700"
2017,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2017,1,CA,Total Electric Power Industry,Total,"16,944,264"
2017,1,CA,Total Electric Power Industry,Coal,"26,516"
2017,1,CA,Total Electric Power Industry,Geothermal,"1,022,944"
2017,1,CA,Total Electric Power Industry,Pumped Storage,"192,666"
2017,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"3,759,433"
